picture_file;picture;Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Fásico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Imagen_url
101668_MONTALE_WHITE_MUSK_EPV_100ML_1_5_png.webp;;101668-MONTALE-WHITE-MUSK-EPV-100ML-1-5;MONTALE WHITE MUSK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101668_MONTALE_WHITE_MUSK_EPV_100ML_1_5_png.webp
101669_MONTALE_BLACK_MUSK_EPV_100ML_1_5_png.webp;;101669-MONTALE-BLACK-MUSK-EPV-100ML-1-5;MONTALE BLACK MUSK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101669_MONTALE_BLACK_MUSK_EPV_100ML_1_5_png.webp
101674_MONTALE_RED_VETIVER_EPV_100ML_1_3_png.webp;;101674-MONTALE-RED-VETIVER-EPV-100ML-1-3;MONTALE RED VETIVER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101674_MONTALE_RED_VETIVER_EPV_100ML_1_3_png.webp
101679_MONTALE_ORANGE_FLOWERS_EPV_100ML_1_4_png.webp;;101679-MONTALE-ORANGE-FLOWERS-EPV-100ML-1-4;MONTALE ORANGE FLOWERS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101679_MONTALE_ORANGE_FLOWERS_EPV_100ML_1_4_png.webp
101691_MONTALE_RISTRETTO_INTENSE_CAFE_EPV_100ML_1_7_png.webp;;101691-MONTALE-RISTRETTO-INTENSE-CAFE-EPV-100ML-1-7;MONTALE RISTRETTO INTENSE CAFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/101691_MONTALE_RISTRETTO_INTENSE_CAFE_EPV_100ML_1_7_png.webp
104041_montale_oudrising_epv_100ml_1_png.webp;;104041-montale-oudrising-epv-100ml-1;montale oudrising;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/104041_montale_oudrising_epv_100ml_1_png.webp
108550_MANCERA_FEMINITY_EPV_120ML_1_2_png.webp;;108550-MANCERA-FEMINITY-EPV-120ML-1-2;MANCERA FEMINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/108550_MANCERA_FEMINITY_EPV_120ML_1_2_png.webp
108555_MANCERA_ROSES_GREDDY_EPV_120ML_1_5_png.webp;;108555-MANCERA-ROSES-GREDDY-EPV-120ML-1-5;MANCERA ROSES GREDDY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/108555_MANCERA_ROSES_GREDDY_EPV_120ML_1_5_png.webp
108564_MANCERA_LEMON_LIME_EPV_120ML_1_png.webp;;108564-MANCERA-LEMON-LIME-EPV-120ML-1;MANCERA LEMON LIME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/108564_MANCERA_LEMON_LIME_EPV_120ML_1_png.webp
108814_xerjoff_1861_zefiro_epv_100ml_1_1_png.webp;;108814-xerjoff-1861-zefiro-epv-100ml-1-1;xerjoff 1861 zefiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://wpwmcikdclulxuhpijri.supabase.co/storage/v1/object/public/perpel_images/perfumery_fragancias/108814_xerjoff_1861_zefiro_epv_100ml_1_1_png.webp
